# of Nodes,Processor,Accelerator,# of Accelerators,Model MLC,Scenario,Host Processor Core Count,tokens_per_second
1,INTEL(R) XEON(R) PLATINUM 8580,NVIDIA H100-NVL-94GB,4,gptj-99,Server,120,6337.64
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,4,gptj-99,Offline,96,9966.79
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,4,gptj-99,Server,96,9990.24
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,4,gptj-99.9,Offline,96,9966.79
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,4,gptj-99.9,Server,96,9990.24
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,4,llama2-70b-99,Offline,96,10699.6
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,4,llama2-70b-99,Server,96,9522.2
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,4,llama2-70b-99.9,Offline,96,10699.6
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,4,llama2-70b-99.9,Server,96,9522.2
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,4,mixtral-8x7b,Offline,96,26824.4
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,4,mixtral-8x7b,Server,96,25707
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,4,llama2-70b-99,Offline,96,10594.1
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,4,llama2-70b-99,Server,96,8937.82
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,4,llama2-70b-99.9,Offline,96,10594.1
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,4,llama2-70b-99.9,Server,96,8937.82
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,8,llama2-70b-99,Offline,48,24086.7
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,8,llama2-70b-99,Server,48,21589.17
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,8,llama2-70b-99.9,Offline,48,24086.7
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,8,llama2-70b-99.9,Server,48,21589.17
1,Intel(R) Xeon(R) Platinum 8470,NVIDIA H200-SXM-141GB,8,gptj-99,Offline,52,20238.4
1,Intel(R) Xeon(R) Platinum 8470,NVIDIA H200-SXM-141GB,8,gptj-99,Server,52,20139
1,Intel(R) Xeon(R) Platinum 8470,NVIDIA H200-SXM-141GB,8,gptj-99.9,Offline,52,20238.4
1,Intel(R) Xeon(R) Platinum 8470,NVIDIA H200-SXM-141GB,8,gptj-99.9,Server,52,20139
1,Intel(R) Xeon(R) Platinum 8470,NVIDIA H200-SXM-141GB,8,llama2-70b-99,Offline,52,32124.3
1,Intel(R) Xeon(R) Platinum 8470,NVIDIA H200-SXM-141GB,8,llama2-70b-99,Server,52,29739.88
1,Intel(R) Xeon(R) Platinum 8470,NVIDIA H200-SXM-141GB,8,llama2-70b-99.9,Offline,52,32124.3
1,Intel(R) Xeon(R) Platinum 8470,NVIDIA H200-SXM-141GB,8,llama2-70b-99.9,Server,52,29739.88
1,Intel(R) Xeon(R) Platinum 8460Y+,AMD MI300X-NPS1-SPX-192GB-750W,8,llama2-70b-99,Offline,40,22677.6
1,Intel(R) Xeon(R) Platinum 8460Y+,AMD MI300X-NPS1-SPX-192GB-750W,8,llama2-70b-99,Server,40,19886.1
1,Intel(R) Xeon(R) Platinum 8460Y+,AMD MI300X-NPS1-SPX-192GB-750W,8,llama2-70b-99.9,Offline,40,22677.6
1,Intel(R) Xeon(R) Platinum 8460Y+,AMD MI300X-NPS1-SPX-192GB-750W,8,llama2-70b-99.9,Server,40,19886.1
1,Intel(R) Xeon(R) Gold 6454S,NVIDIA L40S,8,gptj-99,Offline,32,6911.78
1,Intel(R) Xeon(R) Gold 6454S,NVIDIA L40S,8,gptj-99,Server,32,6903.45
1,Intel(R) Xeon(R) Gold 6454S,NVIDIA L40S,8,gptj-99.9,Offline,32,6911.78
1,Intel(R) Xeon(R) Gold 6454S,NVIDIA L40S,8,gptj-99.9,Server,32,6903.45
1,Intel(R) Xeon(R) Gold 6454S,NVIDIA L40S,8,llama2-70b-99,Offline,32,3717.74
1,Intel(R) Xeon(R) Gold 6454S,NVIDIA L40S,8,llama2-70b-99,Server,32,3218.55
1,Intel(R) Xeon(R) Gold 6454S,NVIDIA L40S,8,llama2-70b-99.9,Offline,32,3717.74
1,Intel(R) Xeon(R) Gold 6454S,NVIDIA L40S,8,llama2-70b-99.9,Server,32,3218.55
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,4,gptj-99,Offline,48,9960.74
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,4,gptj-99,Server,48,9602.79
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,4,gptj-99.9,Offline,48,9960.74
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,4,gptj-99.9,Server,48,9602.79
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,4,llama2-70b-99,Offline,48,10133.3
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,4,llama2-70b-99,Server,48,9493.99
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,4,llama2-70b-99.9,Offline,48,10133.3
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,4,llama2-70b-99.9,Server,48,9493.99
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,4,mixtral-8x7b,Offline,48,26641.6
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,4,mixtral-8x7b,Server,48,25358.5
1,Intel(R) Xeon(R) Platinum 8480+,NVIDIA H200-SXM-141GB,8,gptj-99,Offline,56,20041.3
1,Intel(R) Xeon(R) Platinum 8480+,NVIDIA H200-SXM-141GB,8,gptj-99,Server,56,19250.4
1,Intel(R) Xeon(R) Platinum 8480+,NVIDIA H200-SXM-141GB,8,gptj-99.9,Offline,56,20041.3
1,Intel(R) Xeon(R) Platinum 8480+,NVIDIA H200-SXM-141GB,8,gptj-99.9,Server,56,19250.4
1,Intel(R) Xeon(R) Platinum 8480+,NVIDIA H200-SXM-141GB,8,llama2-70b-99,Offline,56,31263.8
1,Intel(R) Xeon(R) Platinum 8480+,NVIDIA H200-SXM-141GB,8,llama2-70b-99,Server,56,29715.28
1,Intel(R) Xeon(R) Platinum 8480+,NVIDIA H200-SXM-141GB,8,llama2-70b-99.9,Offline,56,31263.8
1,Intel(R) Xeon(R) Platinum 8480+,NVIDIA H200-SXM-141GB,8,llama2-70b-99.9,Server,56,29715.28
1,Intel(R) Xeon(R) Platinum 8480+,NVIDIA H200-SXM-141GB,8,mixtral-8x7b,Offline,56,59334.8
1,Intel(R) Xeon(R) Platinum 8480+,NVIDIA H200-SXM-141GB,8,mixtral-8x7b,Server,56,57174.1
1,Intel(R) Xeon(R) Platinum 8481C,NVIDIA H100-SXM-80GB,8,llama2-70b-99,Offline,56,24133.7
1,Intel(R) Xeon(R) Platinum 8481C,NVIDIA H100-SXM-80GB,8,llama2-70b-99,Server,56,21588.35
1,Intel(R) Xeon(R) Platinum 8481C,NVIDIA H100-SXM-80GB,8,llama2-70b-99.9,Offline,56,24133.7
1,Intel(R) Xeon(R) Platinum 8481C,NVIDIA H100-SXM-80GB,8,llama2-70b-99.9,Server,56,21588.35
1,Intel(R) Xeon(R) Platinum 8481C,NVIDIA H100-SXM-80GB,8,mixtral-8x7b,Offline,56,52524.4
1,Intel(R) Xeon(R) Platinum 8481C,NVIDIA H100-SXM-80GB,8,mixtral-8x7b,Server,56,50798.8
1,INTEL(R) XEON(R) PLATINUM 8592+,N/A,0,gptj-99,Offline,64,251.298
1,INTEL(R) XEON(R) PLATINUM 8592+,N/A,0,gptj-99,Server,64,113.735
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,8,gptj-99,Offline,48,19751.9
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,8,gptj-99,Server,48,19502.6
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,8,llama2-70b-99,Offline,48,24528.3
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,8,llama2-70b-99,Server,48,23132.81
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,8,llama2-70b-99.9,Offline,48,24424.7
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,8,llama2-70b-99.9,Server,48,23144.02
