# of Nodes,Processor,Accelerator,# of Accelerators,Model MLC,Scenario,Host Processor Core Count,tokens_per_second
1,NVIDIA Grace CPU,NVIDIA GH200 Grace Hopper Superchip 96GB,1,llama2-70b-99.9,Offline,72,3114.03
1,NVIDIA Grace CPU,NVIDIA GH200 Grace Hopper Superchip 96GB,1,llama2-70b-99.9,Server,72,2619.09
1,Intel(R) Xeon(R) Platinum 8480CL,NVIDIA L40S,4,llama2-70b-99.9,Offline,112,1717.77
1,Intel(R) Xeon(R) Platinum 8480CL,NVIDIA L40S,4,llama2-70b-99.9,Server,112,1469.19
1,AMD EPYC 9654,NVIDIA H100-SXM-80GB,8,gptj-99,Offline,96,19539.2
1,AMD EPYC 9654,NVIDIA H100-SXM-80GB,8,gptj-99,Server,96,19810.7
1,AMD EPYC 9654,NVIDIA H100-SXM-80GB,8,gptj-99.9,Offline,96,19539.2
1,AMD EPYC 9654,NVIDIA H100-SXM-80GB,8,gptj-99.9,Server,96,19810.7
1,AMD EPYC 9654,NVIDIA H100-SXM-80GB,8,llama2-70b-99,Offline,96,24216.8
1,AMD EPYC 9654,NVIDIA H100-SXM-80GB,8,llama2-70b-99,Server,96,23699.66
1,AMD EPYC 9654,NVIDIA H100-SXM-80GB,8,llama2-70b-99.9,Offline,96,24216.8
1,AMD EPYC 9654,NVIDIA H100-SXM-80GB,8,llama2-70b-99.9,Server,96,23699.66
1,AMD EPYC 9654,NVIDIA H100-SXM-80GB,8,mixtral-8x7b,Offline,96,51269
1,AMD EPYC 9654,NVIDIA H100-SXM-80GB,8,mixtral-8x7b,Server,96,50099.5
1,AMD EPYC 9474F,NVIDIA H100-SXM-80GB,8,gptj-99,Offline,48,19418.9
1,AMD EPYC 9474F,NVIDIA H100-SXM-80GB,8,gptj-99,Server,48,19304.4
1,AMD EPYC 9474F,NVIDIA H100-SXM-80GB,8,gptj-99.9,Offline,48,19418.9
1,AMD EPYC 9474F,NVIDIA H100-SXM-80GB,8,gptj-99.9,Server,48,19304.4
1,AMD EPYC 9474F,NVIDIA H100-SXM-80GB,8,llama2-70b-99,Offline,48,24011.7
1,AMD EPYC 9474F,NVIDIA H100-SXM-80GB,8,llama2-70b-99,Server,48,21775.48
1,AMD EPYC 9474F,NVIDIA H100-SXM-80GB,8,llama2-70b-99.9,Offline,48,24011.7
1,AMD EPYC 9474F,NVIDIA H100-SXM-80GB,8,llama2-70b-99.9,Server,48,21775.48
1,AMD EPYC 9474F,NVIDIA H100-SXM-80GB,8,mixtral-8x7b,Offline,48,50970.6
1,AMD EPYC 9474F,NVIDIA H100-SXM-80GB,8,mixtral-8x7b,Server,48,49864
1,NVIDIA Grace CPU,NVIDIA GH200 Grace Hopper Superchip 96GB,1,gptj-99,Offline,72,2659.47
1,NVIDIA Grace CPU,NVIDIA GH200 Grace Hopper Superchip 96GB,1,gptj-99,Server,72,2159.89
1,NVIDIA Grace CPU,NVIDIA GH200 Grace Hopper Superchip 96GB,1,gptj-99.9,Offline,72,2659.47
1,NVIDIA Grace CPU,NVIDIA GH200 Grace Hopper Superchip 96GB,1,gptj-99.9,Server,72,2159.89
1,Intel(R) Xeon(R) Platinum 8570,NVIDIA H100-SXM-80GB,8,gptj-99,Offline,56,19808.2
1,Intel(R) Xeon(R) Platinum 8570,NVIDIA H100-SXM-80GB,8,gptj-99,Server,56,19725.6
1,Intel(R) Xeon(R) Platinum 8570,NVIDIA H100-SXM-80GB,8,gptj-99.9,Offline,56,19808.2
1,Intel(R) Xeon(R) Platinum 8570,NVIDIA H100-SXM-80GB,8,gptj-99.9,Server,56,19725.6
1,Intel(R) Xeon(R) Platinum 8570,NVIDIA H100-SXM-80GB,8,llama2-70b-99,Offline,56,24180.6
1,Intel(R) Xeon(R) Platinum 8570,NVIDIA H100-SXM-80GB,8,llama2-70b-99,Server,56,21888.6
1,Intel(R) Xeon(R) Platinum 8570,NVIDIA H100-SXM-80GB,8,llama2-70b-99.9,Offline,56,24180.6
1,Intel(R) Xeon(R) Platinum 8570,NVIDIA H100-SXM-80GB,8,llama2-70b-99.9,Server,56,21888.6
1,Intel(R) Xeon(R) Platinum 8570,NVIDIA H100-SXM-80GB,8,mixtral-8x7b,Offline,56,52452
1,Intel(R) Xeon(R) Platinum 8570,NVIDIA H100-SXM-80GB,8,mixtral-8x7b,Server,56,51028.4
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,8,gptj-99,Offline,48,19803.6
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,8,gptj-99,Server,48,19635.2
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,8,gptj-99.9,Offline,48,19803.6
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,8,gptj-99.9,Server,48,19635.2
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,8,llama2-70b-99,Offline,48,24140.1
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,8,llama2-70b-99,Server,48,21986.02
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,8,llama2-70b-99.9,Offline,48,24140.1
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,8,llama2-70b-99.9,Server,48,21986.02
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,8,mixtral-8x7b,Offline,48,52353.8
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,8,mixtral-8x7b,Server,48,50676.9
1,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100-SXM-80GB,8,gptj-99,Offline,32,19711.1
1,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100-SXM-80GB,8,gptj-99,Server,32,19233.8
1,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100-SXM-80GB,8,llama2-70b-99,Offline,32,24459.6
1,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100-SXM-80GB,8,llama2-70b-99,Server,32,21326.97
1,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100-SXM-80GB,8,llama2-70b-99.9,Offline,32,24459.6
1,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100-SXM-80GB,8,llama2-70b-99.9,Server,32,21326.97
1,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100-SXM-80GB,8,mixtral-8x7b,Offline,32,52817.7
1,Intel(R) Xeon(R) Platinum 8462Y+,NVIDIA H100-SXM-80GB,8,mixtral-8x7b,Server,32,50797.2
1,2xAMD EPYC TURIN,AMD Instinct MI300X-NPS1-SPX-192GB-750W,8,llama2-70b-99,Offline,0,24109.8
1,2xAMD EPYC TURIN,AMD Instinct MI300X-NPS1-SPX-192GB-750W,8,llama2-70b-99,Server,0,22020.92
1,2xAMD EPYC TURIN,AMD Instinct MI300X-NPS1-SPX-192GB-750W,8,llama2-70b-99.9,Offline,0,24109.8
1,2xAMD EPYC TURIN,AMD Instinct MI300X-NPS1-SPX-192GB-750W,8,llama2-70b-99.9,Server,0,22020.92
1,NVIDIA Grace CPU,NVIDIA GH200 Grace Hopper Superchip 144GB,1,gptj-99,Offline,72,2632.76
1,NVIDIA Grace CPU,NVIDIA GH200 Grace Hopper Superchip 144GB,1,gptj-99,Server,72,2512.89
1,NVIDIA Grace CPU,NVIDIA GH200 Grace Hopper Superchip 144GB,1,gptj-99.9,Offline,72,2632.76
1,NVIDIA Grace CPU,NVIDIA GH200 Grace Hopper Superchip 144GB,1,gptj-99.9,Server,72,2512.89
1,NVIDIA Grace CPU,NVIDIA GH200 Grace Hopper Superchip 144GB,1,llama2-70b-99,Offline,72,4084.3
1,NVIDIA Grace CPU,NVIDIA GH200 Grace Hopper Superchip 144GB,1,llama2-70b-99,Server,72,3884.16
1,NVIDIA Grace CPU,NVIDIA GH200 Grace Hopper Superchip 144GB,1,llama2-70b-99.9,Offline,72,4084.3
1,NVIDIA Grace CPU,NVIDIA GH200 Grace Hopper Superchip 144GB,1,llama2-70b-99.9,Server,72,3884.16
1,NVIDIA Grace CPU,NVIDIA GH200 Grace Hopper Superchip 144GB,1,mixtral-8x7b,Offline,72,8063.02
1,NVIDIA Grace CPU,NVIDIA GH200 Grace Hopper Superchip 144GB,1,mixtral-8x7b,Server,72,7450.72
1,INTEL(R) XEON(R) 6980P,N/A,0,gptj-99,Offline,128,498.316
1,INTEL(R) XEON(R) 6980P,N/A,0,gptj-99,Server,128,217.466
1,Intel(R) Xeon(R) Silver 4410Y,NVIDIA B200-SXM-180GB,1,llama2-70b-99,Offline,12,11264.4
1,Intel(R) Xeon(R) Silver 4410Y,NVIDIA B200-SXM-180GB,1,llama2-70b-99,Server,12,10755.59
1,Intel(R) Xeon(R) Silver 4410Y,NVIDIA B200-SXM-180GB,1,llama2-70b-99.9,Offline,12,11264.4
1,Intel(R) Xeon(R) Silver 4410Y,NVIDIA B200-SXM-180GB,1,llama2-70b-99.9,Server,12,10755.59
