# of Accelerators,# of Nodes,Accelerator,Host Processor Core Count,Model MLC,Processor,Scenario,tokens_per_second
4,1,NVIDIA H100-NVL-94GB,120,gptj-99,INTEL(R) XEON(R) PLATINUM 8580,Server,6337.64
4,1,NVIDIA H100-SXM-80GB,96,gptj-99,Intel(R) Xeon(R) Platinum 8468,Offline,9966.79
4,1,NVIDIA H100-SXM-80GB,96,gptj-99,Intel(R) Xeon(R) Platinum 8468,Server,9990.24
4,1,NVIDIA H100-SXM-80GB,96,gptj-99.9,Intel(R) Xeon(R) Platinum 8468,Offline,9966.79
4,1,NVIDIA H100-SXM-80GB,96,gptj-99.9,Intel(R) Xeon(R) Platinum 8468,Server,9990.24
4,1,NVIDIA H100-SXM-80GB,96,llama2-70b-99,Intel(R) Xeon(R) Platinum 8468,Offline,10699.6
4,1,NVIDIA H100-SXM-80GB,96,llama2-70b-99,Intel(R) Xeon(R) Platinum 8468,Server,9522.2
4,1,NVIDIA H100-SXM-80GB,96,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8468,Offline,10699.6
4,1,NVIDIA H100-SXM-80GB,96,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8468,Server,9522.2
4,1,NVIDIA H100-SXM-80GB,96,mixtral-8x7b,Intel(R) Xeon(R) Platinum 8468,Offline,26824.4
4,1,NVIDIA H100-SXM-80GB,96,mixtral-8x7b,Intel(R) Xeon(R) Platinum 8468,Server,25707.0
4,1,NVIDIA H100-SXM-80GB,96,llama2-70b-99,Intel(R) Xeon(R) Platinum 8468,Offline,10594.1
4,1,NVIDIA H100-SXM-80GB,96,llama2-70b-99,Intel(R) Xeon(R) Platinum 8468,Server,8937.82
4,1,NVIDIA H100-SXM-80GB,96,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8468,Offline,10594.1
4,1,NVIDIA H100-SXM-80GB,96,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8468,Server,8937.82
8,1,NVIDIA H100-SXM-80GB,48,llama2-70b-99,Intel(R) Xeon(R) Platinum 8468,Offline,24086.7
8,1,NVIDIA H100-SXM-80GB,48,llama2-70b-99,Intel(R) Xeon(R) Platinum 8468,Server,21589.17
8,1,NVIDIA H100-SXM-80GB,48,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8468,Offline,24086.7
8,1,NVIDIA H100-SXM-80GB,48,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8468,Server,21589.17
8,1,NVIDIA H200-SXM-141GB,52,gptj-99,Intel(R) Xeon(R) Platinum 8470,Offline,20238.4
8,1,NVIDIA H200-SXM-141GB,52,gptj-99,Intel(R) Xeon(R) Platinum 8470,Server,20139.0
