# of Accelerators,# of Nodes,Accelerator,Host Processor Core Count,Model MLC,Processor,Scenario,tokens_per_second
1,1,NVIDIA GH200 Grace Hopper Superchip 96GB,72,llama2-70b-99.9,NVIDIA Grace CPU,Server,2619.09
4,1,NVIDIA L40S,112,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8480CL,Offline,1717.77
4,1,NVIDIA L40S,112,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8480CL,Server,1469.19
8,1,NVIDIA H100-SXM-80GB,96,gptj-99,AMD EPYC 9654,Offline,19539.2
8,1,NVIDIA H100-SXM-80GB,96,gptj-99,AMD EPYC 9654,Server,19810.7
8,1,NVIDIA H100-SXM-80GB,96,gptj-99.9,AMD EPYC 9654,Offline,19539.2
8,1,NVIDIA H100-SXM-80GB,96,gptj-99.9,AMD EPYC 9654,Server,19810.7
8,1,NVIDIA H100-SXM-80GB,96,llama2-70b-99,AMD EPYC 9654,Offline,24216.8
8,1,NVIDIA H100-SXM-80GB,96,llama2-70b-99,AMD EPYC 9654,Server,23699.66
8,1,NVIDIA H100-SXM-80GB,96,llama2-70b-99.9,AMD EPYC 9654,Offline,24216.8
8,1,NVIDIA H100-SXM-80GB,96,llama2-70b-99.9,AMD EPYC 9654,Server,23699.66
8,1,NVIDIA H100-SXM-80GB,96,mixtral-8x7b,AMD EPYC 9654,Offline,51269.0
8,1,NVIDIA H100-SXM-80GB,96,mixtral-8x7b,AMD EPYC 9654,Server,50099.5
8,1,NVIDIA H100-SXM-80GB,48,gptj-99,AMD EPYC 9474F,Offline,19418.9
8,1,NVIDIA H100-SXM-80GB,48,gptj-99,AMD EPYC 9474F,Server,19304.4
8,1,NVIDIA H100-SXM-80GB,48,gptj-99.9,AMD EPYC 9474F,Offline,19418.9
8,1,NVIDIA H100-SXM-80GB,48,gptj-99.9,AMD EPYC 9474F,Server,19304.4
8,1,NVIDIA H100-SXM-80GB,48,llama2-70b-99,AMD EPYC 9474F,Offline,24011.7
8,1,NVIDIA H100-SXM-80GB,48,llama2-70b-99,AMD EPYC 9474F,Server,21775.48
8,1,NVIDIA H100-SXM-80GB,48,llama2-70b-99.9,AMD EPYC 9474F,Offline,24011.7
8,1,NVIDIA H100-SXM-80GB,48,llama2-70b-99.9,AMD EPYC 9474F,Server,21775.48
8,1,NVIDIA H100-SXM-80GB,48,mixtral-8x7b,AMD EPYC 9474F,Offline,50970.6
8,1,NVIDIA H100-SXM-80GB,48,mixtral-8x7b,AMD EPYC 9474F,Server,49864.0
1,1,NVIDIA GH200 Grace Hopper Superchip 96GB,72,gptj-99,NVIDIA Grace CPU,Offline,2659.47
1,1,NVIDIA GH200 Grace Hopper Superchip 96GB,72,gptj-99,NVIDIA Grace CPU,Server,2159.89
1,1,NVIDIA GH200 Grace Hopper Superchip 96GB,72,gptj-99.9,NVIDIA Grace CPU,Offline,2659.47
1,1,NVIDIA GH200 Grace Hopper Superchip 96GB,72,gptj-99.9,NVIDIA Grace CPU,Server,2159.89
8,1,NVIDIA H100-SXM-80GB,56,gptj-99,Intel(R) Xeon(R) Platinum 8570,Offline,19808.2
8,1,NVIDIA H100-SXM-80GB,56,gptj-99,Intel(R) Xeon(R) Platinum 8570,Server,19725.6
8,1,NVIDIA H100-SXM-80GB,56,gptj-99.9,Intel(R) Xeon(R) Platinum 8570,Offline,19808.2
8,1,NVIDIA H100-SXM-80GB,56,gptj-99.9,Intel(R) Xeon(R) Platinum 8570,Server,19725.6
8,1,NVIDIA H100-SXM-80GB,56,llama2-70b-99,Intel(R) Xeon(R) Platinum 8570,Offline,24180.6
8,1,NVIDIA H100-SXM-80GB,56,llama2-70b-99,Intel(R) Xeon(R) Platinum 8570,Server,21888.6
8,1,NVIDIA H100-SXM-80GB,56,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8570,Offline,24180.6
8,1,NVIDIA H100-SXM-80GB,56,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8570,Server,21888.6
8,1,NVIDIA H100-SXM-80GB,56,mixtral-8x7b,Intel(R) Xeon(R) Platinum 8570,Offline,52452.0
8,1,NVIDIA H100-SXM-80GB,56,mixtral-8x7b,Intel(R) Xeon(R) Platinum 8570,Server,51028.4
8,1,NVIDIA H100-SXM-80GB,48,gptj-99,Intel(R) Xeon(R) Platinum 8468,Offline,19803.6
8,1,NVIDIA H100-SXM-80GB,48,gptj-99,Intel(R) Xeon(R) Platinum 8468,Server,19635.2
8,1,NVIDIA H100-SXM-80GB,48,gptj-99.9,Intel(R) Xeon(R) Platinum 8468,Offline,19803.6
8,1,NVIDIA H100-SXM-80GB,48,gptj-99.9,Intel(R) Xeon(R) Platinum 8468,Server,19635.2
8,1,NVIDIA H100-SXM-80GB,48,llama2-70b-99,Intel(R) Xeon(R) Platinum 8468,Offline,24140.1
8,1,NVIDIA H100-SXM-80GB,48,llama2-70b-99,Intel(R) Xeon(R) Platinum 8468,Server,21986.02
8,1,NVIDIA H100-SXM-80GB,48,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8468,Offline,24140.1
8,1,NVIDIA H100-SXM-80GB,48,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8468,Server,21986.02
8,1,NVIDIA H100-SXM-80GB,48,mixtral-8x7b,Intel(R) Xeon(R) Platinum 8468,Offline,52353.8
8,1,NVIDIA H100-SXM-80GB,48,mixtral-8x7b,Intel(R) Xeon(R) Platinum 8468,Server,50676.9
8,1,NVIDIA H100-SXM-80GB,32,gptj-99,Intel(R) Xeon(R) Platinum 8462Y+,Offline,19711.1
8,1,NVIDIA H100-SXM-80GB,32,gptj-99,Intel(R) Xeon(R) Platinum 8462Y+,Server,19233.8
8,1,NVIDIA H100-SXM-80GB,32,llama2-70b-99,Intel(R) Xeon(R) Platinum 8462Y+,Offline,24459.6
8,1,NVIDIA H100-SXM-80GB,32,llama2-70b-99,Intel(R) Xeon(R) Platinum 8462Y+,Server,21326.97
8,1,NVIDIA H100-SXM-80GB,32,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8462Y+,Offline,24459.6
8,1,NVIDIA H100-SXM-80GB,32,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8462Y+,Server,21326.97
8,1,NVIDIA H100-SXM-80GB,32,mixtral-8x7b,Intel(R) Xeon(R) Platinum 8462Y+,Offline,52817.7
8,1,NVIDIA H100-SXM-80GB,32,mixtral-8x7b,Intel(R) Xeon(R) Platinum 8462Y+,Server,50797.2
8,1,AMD Instinct MI300X-NPS1-SPX-192GB-750W,0,llama2-70b-99,2xAMD EPYC TURIN,Offline,24109.8
8,1,AMD Instinct MI300X-NPS1-SPX-192GB-750W,0,llama2-70b-99,2xAMD EPYC TURIN,Server,22020.92
8,1,AMD Instinct MI300X-NPS1-SPX-192GB-750W,0,llama2-70b-99.9,2xAMD EPYC TURIN,Offline,24109.8
8,1,AMD Instinct MI300X-NPS1-SPX-192GB-750W,0,llama2-70b-99.9,2xAMD EPYC TURIN,Server,22020.92
1,1,NVIDIA GH200 Grace Hopper Superchip 144GB,72,gptj-99,NVIDIA Grace CPU,Offline,2632.76
1,1,NVIDIA GH200 Grace Hopper Superchip 144GB,72,gptj-99,NVIDIA Grace CPU,Server,2512.89
1,1,NVIDIA GH200 Grace Hopper Superchip 144GB,72,gptj-99.9,NVIDIA Grace CPU,Offline,2632.76
1,1,NVIDIA GH200 Grace Hopper Superchip 144GB,72,gptj-99.9,NVIDIA Grace CPU,Server,2512.89
1,1,NVIDIA GH200 Grace Hopper Superchip 144GB,72,llama2-70b-99,NVIDIA Grace CPU,Offline,4084.3
1,1,NVIDIA GH200 Grace Hopper Superchip 144GB,72,llama2-70b-99,NVIDIA Grace CPU,Server,3884.16
1,1,NVIDIA GH200 Grace Hopper Superchip 144GB,72,llama2-70b-99.9,NVIDIA Grace CPU,Offline,4084.3
1,1,NVIDIA GH200 Grace Hopper Superchip 144GB,72,llama2-70b-99.9,NVIDIA Grace CPU,Server,3884.16
1,1,NVIDIA GH200 Grace Hopper Superchip 144GB,72,mixtral-8x7b,NVIDIA Grace CPU,Offline,8063.02
1,1,NVIDIA GH200 Grace Hopper Superchip 144GB,72,mixtral-8x7b,NVIDIA Grace CPU,Server,7450.72
0,1,,128,gptj-99,INTEL(R) XEON(R) 6980P,Offline,498.316
0,1,,128,gptj-99,INTEL(R) XEON(R) 6980P,Server,217.466
1,1,NVIDIA B200-SXM-180GB,12,llama2-70b-99,Intel(R) Xeon(R) Silver 4410Y,Offline,11264.4
1,1,NVIDIA B200-SXM-180GB,12,llama2-70b-99,Intel(R) Xeon(R) Silver 4410Y,Server,10755.59
1,1,NVIDIA B200-SXM-180GB,12,llama2-70b-99.9,Intel(R) Xeon(R) Silver 4410Y,Offline,11264.4
1,1,NVIDIA B200-SXM-180GB,12,llama2-70b-99.9,Intel(R) Xeon(R) Silver 4410Y,Server,10755.59
